IndicatorId,Indicator
FP_EVUU_W_FCN,Ever use of female condom (sexually active unmarried women)
FP_EVUA_M_FST,Ever use of female sterilization (all men)
FP_EVUA_W_FST,Ever use of female sterilization (all women)
FP_EVUM_M_FST,Ever use of female sterilization (married men)
FP_EVUM_W_FST,Ever use of female sterilization (married women)
FP_EVUU_W_FST,Ever use of female sterilization (sexually active unmarried women)
FP_EVUA_M_FOM,Ever use of foam or jelly (all men)
FP_EVUA_W_FOM,Ever use of foam or jelly (all women)
FP_EVUM_M_FOM,Ever use of foam or jelly (married men)
FP_EVUM_W_FOM,Ever use of foam or jelly (married women)
FP_EVUU_M_FOM,Ever use of foam or jelly (sexually active unmarried men)
FP_EVUU_W_FOM,Ever use of foam or jelly (sexually active unmarried women)
FP_EVUA_M_IMP,Ever use of implants (all men)
FP_EVUA_W_IMP,Ever use of implants (all women)
FP_EVUM_M_IMP,Ever use of implants (married men)
FP_EVUM_W_IMP,Ever use of implants (married women)
FP_EVUU_M_IMP,Ever use of implants (sexually active unmarried men)
FP_EVUU_W_IMP,Ever use of implants (sexually active unmarried women)
FP_EVUA_M_INJ,Ever use of injections (all men)
FP_EVUA_W_INJ,Ever use of injections (all women)
FP_EVUM_M_INJ,Ever use of injections (married men)
FP_EVUM_W_INJ,Ever use of injections (married women)
FP_EVUU_M_INJ,Ever use of injections (sexually active unmarried men)
FP_EVUU_W_INJ,Ever use of injections (sexually active unmarried women)
FP_EVUA_M_LAM,Ever use of lactational amenorrhea (all men)
FP_EVUA_W_LAM,Ever use of lactational amenorrhea (all women)
FP_EVUM_M_LAM,Ever use of lactational amenorrhea (married men)
FP_EVUM_W_LAM,Ever use of lactational amenorrhea (married women)
FP_EVUU_M_LAM,Ever use of lactational amenorrhea (sexually active unmarried men)
FP_EVUU_W_LAM,Ever use of lactational amenorrhea (sexually active unmarried women)
FP_EVUA_W_MST,Ever use of male sterilization (all women)
FP_EVUM_W_MST,Ever use of male sterilization (married women)
FP_EVUA_M_OTR,Ever use of other traditional methods (all men)
FP_EVUA_W_OTR,Ever use of other traditional methods (all women)
FP_EVUM_M_OTR,Ever use of other traditional methods (married men)
FP_EVUM_W_OTR,Ever use of other traditional methods (married women)
FP_EVUU_M_OTR,Ever use of other traditional methods (sexually active unmarried men)
FP_EVUU_W_OTR,Ever use of other traditional methods (sexually active unmarried women)
FP_EVUA_M_RHY,Ever use of periodic abstinence (all men)
FP_EVUA_W_RHY,Ever use of periodic abstinence (all women)
FP_EVUM_M_RHY,Ever use of periodic abstinence (married men)
FP_EVUM_W_RHY,Ever use of periodic abstinence (married women)
FP_EVUU_M_RHY,Ever use of periodic abstinence (sexually active unmarried men)
FP_EVUU_W_RHY,Ever use of periodic abstinence (sexually active unmarried women)
FP_EVUA_M_PIL,Ever use of pill (all men)
FP_EVUA_W_PIL,Ever use of pill (all women)
FP_EVUM_M_PIL,Ever use of pill (married men)
FP_EVUM_W_PIL,Ever use of pill (married women)
FP_EVUU_M_PIL,Ever use of pill (sexually active unmarried men)
FP_EVUU_W_PIL,Ever use of pill (sexually active unmarried women)
FP_EVUA_M_WTH,Ever use of withdrawal (all men)
FP_EVUA_W_WTH,Ever use of withdrawal (all women)
FP_EVUM_M_WTH,Ever use of withdrawal (married men)
FP_EVUM_W_WTH,Ever use of withdrawal (married women)
FP_EVUU_M_WTH,Ever use of withdrawal (sexually active unmarried men)
FP_EVUU_W_WTH,Ever use of withdrawal (sexually active unmarried women)
FP_EFPM_M_NWS,Family planning messages in newspapers or magazines [Men]
FP_EFPM_W_NWS,Family planning messages in newspapers or magazines [Women]
FP_EFPM_M_NON,Family planning messages in none of these three media [Men]
FP_EFPM_W_NON,Family planning messages in none of these three media [Women]
FP_EFPM_M_TLV,Family planning messages on television [Men]
FP_EFPM_W_TLV,Family planning messages on television [Women]
FP_EFPM_M_RDO,Family planning messages on the radio [Men]
FP_EFPM_W_RDO,Family planning messages on the radio [Women]
FP_DMKF_W_UJN,Family planning use decisionmaking jointly by wife and husband
FP_DMKF_W_UHS,Family planning use decisionmaking mainly by husband
FP_DMKF_W_UDK,Family planning use decisionmaking mainly by others/don't know/missing
FP_DMKF_W_UWF,Family planning use decisionmaking mainly by wife
FP_DMKF_W_UTT,Family planning use decisionmaking: total
CH_DIFP_C_FAL,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids"
CH_DIFP_C_LDC,Feeding practices during diarrhea: Decreased amount of fluids
CH_DIFP_C_FDC,Feeding practices during diarrhea: Decreased amount of food
CH_DIFP_C_FCF,Feeding practices during diarrhea: Given increased fluids and continued feeding
CH_DIFP_C_LMR,Feeding practices during diarrhea: Increased amount of fluids
CH_DIFP_C_FMR,Feeding practices during diarrhea: Increased amount of food
CH_DIFP_C_LML,Feeding practices during diarrhea: Much less fluids
CH_DIFP_C_FML,Feeding practices during diarrhea: Much less food
CH_DIFP_C_FNV,Feeding practices during diarrhea: Never gave food
CH_DIFP_C_FAL,Feeding practices during diarrhea: ORT and continued feeding
CH_DIFP_C_LSM,Feeding practices during diarrhea: Same amount of fluids
CH_DIFP_C_FSM,Feeding practices during diarrhea: Same amount of food
CH_DIFP_C_LLS,Feeding practices during diarrhea: Somewhat less fluids
CH_DIFP_C_FLS,Feeding practices during diarrhea: Somewhat less food
CH_DIFP_C_LNO,Feeding practices during diarrhea: Stopped fluids completely
CH_DIFP_C_FNO,Feeding practices during diarrhea: Stopped food completely
CH_DIFP_C_FTO,Feeding practices during diarrhea: Total
CH_DIFP_C_LTO,Feeding practices during diarrhea: Total
CH_DIFP_C_LDK,Feeding practices during diarrhea: don't know or missing on fluids given
CH_DIFP_C_FDK,Feeding practices during diarrhea: don't know or missing on food given
MM_MMRT_W_FDP,Female deaths that are pregnancy-related
ED_EDAT_W_HGH,Female population age 6 and over who attended higher education
ED_EDAT_W_PRI,Female population age 6 and over who attended primary education
ED_EDAT_W_SEC,Female population age 6 and over who attended secondary education
ED_EDAT_W_CPR,Female population age 6 and over with completed primary education
ED_EDAT_W_CSC,Female population age 6 and over with completed secondary education
ED_EDAT_W_DKM,Female population age 6 and over with don't know or missing information on level of education
ED_EDAT_W_NED,Female population age 6 and over with no education
ED_EDAT_W_SPR,Female population age 6 and over with some primary education
ED_EDAT_W_SSC,Female population age 6 and over with some secondary education
ED_EDAT_W_TOT,Female population age 6 and over: Total
HC_HHHD_H_FEM,Female-headed households
FP_KFTP_W_MIS,Fertile period: Missing
WE_DMAK_W_3DC,Final say in all of the decisions [Women]
WE_DMAK_M_2DC,Final say in both of the decisions [Men]
WE_DMAK_W_DPC,Final say in making daily purchases [Women]
WE_DMAK_M_MPC,Final say in making large purchases [Men]
WE_DMAK_W_MPC,Final say in making large purchases [Women]
WE_DMAK_M_NON,Final say in none of the decisions [Men]
WE_DMAK_W_NON,Final say in none of the decisions [Women]
WE_DMAK_M_OHC,Final say in own health care [Men]
WE_DMAK_W_OHC,Final say in own health care [Women]
WE_DMAK_W_FAM,"Final say in visits to family, relatives, friends [Women]"
WE_DMAK_W_CKD,Final say in what food to cook daily [Women]
SX_SBAG_M_B15,First sexual intercourse by exact age 15 [Men]
SX_SBAG_W_B15,First sexual intercourse by exact age 15 [Women]
SX_SBAY_M_B15,First sexual intercourse by exact age 15 [Young men]
SX_SBAY_W_B15,First sexual intercourse by exact age 15 [Young women]
SX_SBAG_M_B18,First sexual intercourse by exact age 18 [Men]
SX_SBAG_W_B18,First sexual intercourse by exact age 18 [Women]
SX_SBAY_M_B18,First sexual intercourse by exact age 18 [Young men]
SX_SBAY_W_B18,First sexual intercourse by exact age 18 [Young women]
SX_SBAG_M_B20,First sexual intercourse by exact age 20 [Men]
SX_SBAG_W_B20,First sexual intercourse by exact age 20 [Women]
SX_SBAY_M_B20,First sexual intercourse by exact age 20 [Young men]
SX_SBAY_W_B20,First sexual intercourse by exact age 20 [Young women]
SX_SBAG_M_B22,First sexual intercourse by exact age 22 [Men]
SX_SBAG_W_B22,First sexual intercourse by exact age 22 [Women]
SX_SBAG_M_B25,First sexual intercourse by exact age 25 [Men]
SX_SBAG_W_B25,First sexual intercourse by exact age 25 [Women]
CH_VACS_C_BAS,Fully vaccinated (8 basic antigens)
CH_VACC_C_BAS,Fully vaccinated (8 basic antigens)
CH_VAC1_C_BAS,Fully vaccinated (8 basic antigens)
CH_VACS_C_APP,Fully vaccinated (according to national schedule)
CH_VACC_C_APP,Fully vaccinated (according to national schedule)
FP_FUTU_W_DNI,Future use of contraception: Does not intend
FP_FUTU_W_I12,Future use of contraception: In next 12 months
FP_FUTU_W_INT,Future use of contraception: Intends to use in the future
FP_FUTU_W_TOT,Future use of contraception: Total
FP_FUTU_W_IUN,Future use of contraception: Unsure about timing
FP_FUTU_W_UNS,Future use of contraception: Unsure about use
FP_FUTU_W_ILT,Future use of contraception: Use later
FP_FUTU_W_DKM,Future use of contraception: don't know or missing information on future intentions
ED_NARP_B_GPI,Gender parity index for net primary school attendance
ED_NARS_B_GPI,Gender parity index for net secondary school attendance
FE_FRTR_W_GFR,General fertility rate
MM_MMRO_W_GFR,General fertility rate
ED_GARP_B_GPI,Gross parity index for gross primary school attendance
ED_GARS_B_GPI,Gross parity index for gross secondary school attendance
ED_GARP_W_FEM,Gross primary school attendance rate: Female
ED_GARP_M_MAL,Gross primary school attendance rate: Male
ED_GARP_B_BTH,Gross primary school attendance rate: Total
ED_GARS_W_FEM,Gross secondary school attendance rate: Female
ED_GARS_M_MAL,Gross secondary school attendance rate: Male
ED_GARS_B_BTH,Gross secondary school attendance rate: Total
CM_HRFB_C_TOT,High risk births: Total
CM_HRFW_W_TOT,High risk fertility behavior: Total
CM_HRFB_C_A1B,High-risk births: Age < 18 & birth interval < 24 months
CM_HRFB_C_A2B,High-risk births: Age > 34 & birth interval < 24 months
CM_HRFB_C_ABO,High-risk births: Age > 34 & birth order > 3
CM_HRFB_C_A3B,"High-risk births: Age > 34, birth interval < 24 and birth order > 3"
CM_HRFB_C_BIO,High-risk births: Birth interval < 24 & birth order > 3
CM_HRFB_C_B24,High-risk births: Birth interval < 24 months
CM_HRFB_C_B1S,High-risk births: Birth interval < 24 months subtotal
CM_HRFW_W_B1S,High-risk births: Birth interval < 24 months subtotal
CM_HRFB_C_BO3,High-risk births: Birth order > 3
CM_HRFB_C_B3S,High-risk births: Birth order > 3 subtotal
CM_HRFW_W_B3S,High-risk births: Birth order > 3 subtotal
CM_HRFB_C_FOB,High-risk births: First birth
CM_HRFB_C_ANY,High-risk births: In any avoidable risk category
CM_HRFB_C_A18,High-risk births: Mother's age < 18
CM_HRFW_W_A1S,High-risk births: Mother's age < 18 subtotal
CM_HRFB_C_A1S,High-risk births: Mother's age < 18 subtotal
CM_HRFB_C_A34,High-risk births: Mother's age > 34
CM_HRFW_W_A3S,High-risk births: Mother's age > 34 subtotal
CM_HRFB_C_A3S,High-risk births: Mother's age > 34 subtotal
CM_HRFB_C_MLT,High-risk births: Multiple risk categories
CM_HRFB_C_NON,High-risk births: Not in any risk category
CM_HRFB_C_SNG,High-risk births: Single risk category
CM_HRFW_W_A1B,High-risk fertility behavior: Age < 18 & birth interval < 24 months
CM_HRFW_W_A2B,High-risk fertility behavior: Age > 34 & birth interval < 24 months
CM_HRFW_W_ABO,High-risk fertility behavior: Age > 34 & birth order > 3
CM_HRFW_W_A3B,"High-risk fertility behavior: Age > 34, birth interval < 24 and birth order > 3"
CM_HRFW_W_BIO,High-risk fertility behavior: Birth interval < 24 & birth order > 3
CM_HRFW_W_B24,High-risk fertility behavior: Birth interval < 24 months
CM_HRFW_W_BO3,High-risk fertility behavior: Birth order > 3
CM_HRFW_W_FOB,High-risk fertility behavior: First birth
CM_HRFW_W_ANY,High-risk fertility behavior: In any avoidable risk category
CM_HRFW_W_A18,High-risk fertility behavior: Mother's age < 18
CM_HRFW_W_A34,High-risk fertility behavior: Mother's age > 34
CM_HRFW_W_MLT,High-risk fertility behavior: Multiple risk categories
CM_HRFW_W_NON,High-risk fertility behavior: Not in any risk category
CM_HRFW_W_SNG,High-risk fertility behavior: Single risk category
CM_HRFR_C_A1B,High-risk fertility risk ratio: Age < 18 & birth interval < 24 months
CM_HRFR_C_A2B,High-risk fertility risk ratio: Age > 34 & birth interval < 24 months
CM_HRFR_C_ABO,High-risk fertility risk ratio: Age > 34 & birth order > 3
CM_HRFR_C_A3B,"High-risk fertility risk ratio: Age > 34, birth interval < 24 and birth order > 3"
CM_HRFR_C_BIO,High-risk fertility risk ratio: Birth interval < 24 & birth order > 3
CM_HRFR_C_B24,High-risk fertility risk ratio: Birth interval < 24 months
CM_HRFR_C_B1S,High-risk fertility risk ratio: Birth interval < 24 months subtotal
CM_HRFR_C_BO3,High-risk fertility risk ratio: Birth order > 3
CM_HRFR_C_B3S,High-risk fertility risk ratio: Birth order > 3 subtotal
CM_HRFR_C_FOB,High-risk fertility risk ratio: First birth
CM_HRFR_U_ANY,High-risk fertility risk ratio: In any avoidable risk category
CM_HRFR_C_ANY,High-risk fertility risk ratio: In any avoidable risk category
CM_HRFR_C_A18,High-risk fertility risk ratio: Mother's age < 18
CM_HRFR_C_A1S,High-risk fertility risk ratio: Mother's age < 18 subtotal
CM_HRFR_C_A34,High-risk fertility risk ratio: Mother's age > 34
CM_HRFR_C_A3S,High-risk fertility risk ratio: Mother's age > 34 subtotal
CM_HRFR_C_MLT,High-risk fertility risk ratio: Multiple risk categories
CM_HRFR_C_NON,High-risk fertility risk ratio: Not in any risk category
CM_HRFR_C_SNG,High-risk fertility risk ratio: Single risk category
HA_HRSX_M_HRS,Higher risk sex in the last year [Men]
HA_HRSX_W_HRS,Higher risk sex in the last year [Women]
HA_MSXP_M_2PP,Higher-risk Sex (with multiple partners among all respondents) [Men]
HA_MSXP_W_2PP,Higher-risk Sex (with multiple partners among all respondents) [Women]
HC_AGEG_P_NUM,Household population
HC_AGEG_P_UNW,Household population (unweighted)
WS_TIME_H_DKM,Household with unknown or missing information on round trip time to water
HC_CKFL_H_LPG,Households cooking with LPG/natural gas/biogas
HC_CKFL_H_CHR,Households cooking with charcoal
HC_CKFL_H_ELC,Households cooking with electricity
HC_CKFL_H_GAS,Households cooking with gasoline
HC_CKFL_H_KER,Households cooking with kerosene
HC_CKFL_H_OTH,Households cooking with other types of fuel
HC_CKFL_H_WOD,Households cooking with wood
HC_TRNS_H_BIK,Households possessing a bicycle
HC_TRNS_H_SCT,Households possessing a motorcycle
HC_TRNS_H_CAR,Households possessing a private car
HC_HEFF_H_RDO,Households possessing a radio
HC_HEFF_H_FRG,Households possessing a refrigerator
HC_HEFF_H_NPH,Households possessing a telephone
HC_HEFF_H_TLV,Households possessing a television
SV_HRSM_H_RES,Households response rate for men's survey
HC_HHHD_H_TOT,Households total
HC_RMSL_H_TOT,Households total
WS_TLET_H_TOT,Households total
WS_SRCE_H_PSG,Households using a protected spring
WS_SRCE_H_PWL,Households using a protected well
WS_SRCE_H_TAP,Households using a public tap/standpipe
WS_SRCE_H_USU,Households using a spring (protection unspecified)
WS_SRCE_H_TUB,Households using a tubewell/borehole
WS_SRCE_H_IMP,Households using an improved water source
WS_SRCE_H_NIM,Households using an unimproved water source
WS_SRCE_H_UWL,Households using an unprotected well water
WS_SRCE_H_BOT,Households using bottled water
HC_CKFL_H_CLN,Households using clean fuel for cooking 
WS_TLET_H_NFC,Households using open defecation
WS_TLET_H_OTH,Households using other types of toilet facility
WS_SRCE_H_OTH,Households using other water source
WS_SRCE_H_RNW,Households using rainwater
HC_CKFL_H_SLD,Households using solid fuel for cooking 
WS_SRCE_H_SRF,Households using surface water
WS_SRCE_H_TNK,Households using tanker truck
WS_SRCE_H_PIP,Households using water piped into dwelling
WS_SRCE_H_PYD,Households using water piped into yard/plot
HC_MEMB_H_0MM,Households with 0 usual members
HC_MEMB_H_1MM,Households with 1 usual members
HC_PPRM_H_12P,Households with 1-2 persons per sleeping room
HC_MEMB_H_2MM,Households with 2 usual members
HC_OLDR_H_3GN,Households with 3 generations
HC_MEMB_H_3MM,Households with 3 usual members
HC_PPRM_H_34P,Households with 3-4 persons per sleeping room
HC_MEMB_H_4MM,Households with 4 usual members
HC_MEMB_H_5MM,Households with 5 usual members
HC_PPRM_H_56P,Households with 5-6 persons per sleeping room
HC_MEMB_H_6MM,Households with 6 usual members
HC_PPRM_H_7PP,Households with 7 + persons per sleeping room
HC_MEMB_H_7MM,Households with 7 usual members
HC_MEMB_H_8MM,Households with 8 usual members
HC_MEMB_H_9MM,Households with 9+ usual members
WS_TLET_H_FUN,Households with a flush or pour flush toilet to an unknown location
WS_TLET_H_PSL,Households with a pit latrine with a slab
WS_TLET_H_NPT,Households with a pit latrine without a slab or an open pit
WS_TLET_H_VIP,Households with a ventilated improved pit latrine (VIP)
WS_TLET_H_IMP,Households with an improved sanitation facility
WS_TLET_H_NIM,Households with an unimproved sanitation facility
WS_TLET_H_BAS,Households with basic sanitation service
WS_SRCE_H_BAS,Households with basic water service
HC_FLRM_H_CER,Households with ceramic tile floors
HC_ELEC_H_DKM,Households with don't know or missing information on electricity
HC_RMSL_H_DKM,Households with don't know or missing information on rooms for sleeping
HC_PPRM_H_DKM,Households with don't know or missing information on sleeping rooms
WS_TLET_H_DKM,Households with don't know or missing information on toilet facility
HC_CKFL_H_DKM,Households with don't know or missing information on type of cooking fuel
HC_FLRM_H_DKM,Households with don't know or missing information on type of flooring
WS_SRCE_H_DKM,Households with don't know or missing information on water source
HC_FLRM_H_DNG,Households with dung floors
HC_FLRM_H_ETH,Households with earth/sand floors
HC_ELEC_H_ELC,Households with electricity
HC_FLRM_H_FIN,Households with finished floors
WS_SRCE_H_IOP,Households with improved water source on the premises
CN_IODZ_H_IOD,Households with iodized salt
WS_TLET_H_LTD,Households with limited sanitation service
WS_SRCE_H_LTD,Households with limited water service
HC_OLDR_H_W65,Households with members age 65+
HC_FLRM_H_NAT,Households with natural floors
HC_ELEC_H_NEL,Households with no electricity
CN_IODZ_H_NSL,Households with no salt
HC_RMSL_H_1RM,Households with one room for sleeping
HC_OLDR_H_O65,Households with only members age 65+
HC_FLRM_H_OTH,Households with other floors
HC_FLRM_H_PLM,Households with palm/bamboo floors
HC_FLRM_H_PQT,Households with parquet or polished wood floors
HC_FLRM_H_RUD,Households with rudimentary floors
CN_IODZ_H_SLT,Households with salt tested for iodine content
HC_RMSL_H_3RM,Households with three or more rooms for sleeping
HC_RMSL_H_2RM,Households with two rooms for sleeping
HC_FLRM_H_VIN,Households with vinyl or asphalt strips floors
WS_TIME_H_L30,Households with water 30 minutes or less away round trip
WS_TIME_H_M30,Households with water more than 30 minutes away round trip
WS_TIME_H_ONP,Households with water on the premises
HC_FLRM_H_WDP,Households with wood plank floors
HC_MEMB_H_TOT,Households: Total
WS_TIME_H_TOT,Households: Total
HC_PPRM_H_TOT,Households: Total
WS_SRCE_H_TOT,Households: Total
PR_IDLC_M_ID0,Ideal number of children [Men]: 0
PR_IDLC_M_ID1,Ideal number of children [Men]: 1
PR_IDLC_M_ID2,Ideal number of children [Men]: 2
PR_IDLC_M_ID3,Ideal number of children [Men]: 3
PR_IDLC_M_ID4,Ideal number of children [Men]: 4
PR_IDLC_M_ID5,Ideal number of children [Men]: 5
PR_IDLC_M_ID6,Ideal number of children [Men]: 6+
PR_IDLC_M_IDN,Ideal number of children [Men]: Non-numeric response
PR_IDLC_W_ID0,Ideal number of children [Women]: 0
PR_IDLC_W_ID1,Ideal number of children [Women]: 1
PR_IDLC_W_ID2,Ideal number of children [Women]: 2
PR_IDLC_W_ID3,Ideal number of children [Women]: 3
PR_IDLC_W_ID4,Ideal number of children [Women]: 4
PR_IDLC_W_ID5,Ideal number of children [Women]: 5
PR_IDLC_W_ID6,Ideal number of children [Women]: 6+
PR_IDLC_W_IDN,Ideal number of children [Women]: Non-numeric response
CM_ECMR_C_IMR,Infant mortality rate
CM_ECMT_C_IMR,Infant mortality rate (5 year periods)
CM_ECMT_C_IML,Infant mortality rate (5 year periods) - CI lower bound (-2SE)
CM_ECMT_C_IMU,Infant mortality rate (5 year periods) - CI upper bound (+2SE)
CM_ECMT_C_IMX,Infant mortality rate (5 year periods) - relative error
CM_ECMT_C_IME,Infant mortality rate (5 year periods) - standard error
CM_ECMR_C_IML,Infant mortality rate - CI lower bound (-2SE)
CM_ECMR_C_IMU,Infant mortality rate - CI upper bound (+2SE)
CM_ECMR_C_IMX,Infant mortality rate - relative error
CM_ECMR_C_IME,Infant mortality rate - standard error
CN_IYCB_C_CMP,"Introduction of solid, semi-solid or soft foods (6-8 months)"
WE_JRSX_W_ALL,Justified in refusing sex for all of the reasons
WE_JRSX_W_NON,Justified in refusing sex for none of the reasons
WE_JRSX_W_BTH,Justified in refusing sex if she has recently given birth
WE_JRSX_W_TRD,Justified in refusing sex if she is tired or not in the mood
WE_JRSX_W_SEX,Justified in refusing sex if she knows husband has sex with other women
WE_JRSX_W_STI,Justified in refusing sex if she knows husband has sexually transmitted disease
HA_KHVP_M_CS1,Knowledge of HIV prevention methods - Composite of 2 components (prompted) [Men]
HA_KHVP_W_CS1,Knowledge of HIV prevention methods - Composite of 2 components (prompted) [Women]
HA_KHVP_M_SX1,Knowledge of HIV prevention methods - Only one partner (prompted) [Men]
HA_KHVP_W_SX1,Knowledge of HIV prevention methods - Only one partner (prompted) [Women]
HA_KHVP_M_CND,Knowledge of HIV prevention methods - Use of condoms (prompted) [Men]
HA_KHVP_W_CND,Knowledge of HIV prevention methods - Use of condoms (prompted) [Women]
FP_KMTA_M_IUD,Knowledge of IUD (all men)
FP_KMTA_W_IUD,Knowledge of IUD (all women)
FP_KMTM_M_IUD,Knowledge of IUD (married men)
FP_KMTM_W_IUD,Knowledge of IUD (married women)
FP_KMTU_W_IUD,Knowledge of IUD (sexually active unmarried women)
FP_KMTU_M_IUD,Knowledge of IUD (sexually active unmmarried men)
HA_KMTC_M_DLV,Knowledge of MTCT - During delivery [Men]
HA_KMTC_W_DLV,Knowledge of MTCT - During delivery [Women]
HA_KMTC_M_PRG,Knowledge of MTCT - During pregnancy [Men]
HA_KMTC_W_PRG,Knowledge of MTCT - During pregnancy [Women]
HA_KMTC_M_PDB,Knowledge of MTCT - Through all 3 means [Men]
HA_KMTC_W_PDB,Knowledge of MTCT - Through all 3 means [Women]
HA_KMTC_M_BRF,Knowledge of MTCT - Through breastfeeding [Men]
HA_KMTC_W_BRF,Knowledge of MTCT - Through breastfeeding [Women]
CH_KORS_W_ORS,Knowledge of ORS
HA_CKNY_M_KCN,Knowledge of a formal source of condoms among young men.
HA_CKNY_W_KCN,Knowledge of a formal source of condoms among young women.
FP_KMTA_M_ANY,Knowledge of any method of contraception (all men)
FP_KMTA_W_ANY,Knowledge of any method of contraception (all women)
FP_KMTM_M_ANY,Knowledge of any method of contraception (married men)
FP_KMTM_W_ANY,Knowledge of any method of contraception (married women)
FP_KMTU_W_ANY,Knowledge of any method of contraception (sexually active unmarried women)
FP_KMTU_M_ANY,Knowledge of any method of contraception (sexually active unmmarried men)
FP_KMET_M_ANY,Knowledge of any method of contraception among married men
FP_KMET_W_ANY,Knowledge of any method of contraception among married women
FP_KMTA_M_MOD,Knowledge of any modern method of contraception (all men)
FP_KMTA_W_MOD,Knowledge of any modern method of contraception (all women)
FP_KMTM_M_MOD,Knowledge of any modern method of contraception (married men)
FP_KMTM_W_MOD,Knowledge of any modern method of contraception (married women)
FP_KMTU_W_MOD,Knowledge of any modern method of contraception (sexually active unmarried women)
FP_KMTU_M_MOD,Knowledge of any modern method of contraception (sexually active unmmarried men)
FP_KMET_M_MOD,Knowledge of any modern method of contraception amonth married men
FP_KMET_W_MOD,Knowledge of any modern method of contraception amonth married women
FP_KMTA_M_TRA,Knowledge of any traditional method (all men)
FP_KMTA_W_TRA,Knowledge of any traditional method (all women)
FP_KMTM_M_TRA,Knowledge of any traditional method (married men)
FP_KMTM_W_TRA,Knowledge of any traditional method (married women)
FP_KMTU_W_TRA,Knowledge of any traditional method (sexually active unmarried women)
FP_KMTU_M_TRA,Knowledge of any traditional method (sexually active unmmarried men)
FP_KMTA_M_MCN,Knowledge of condom (all men)
FP_KMTA_W_MCN,Knowledge of condom (all women)
FP_KMTM_M_MCN,Knowledge of condom (married men)
FP_KMTM_W_MCN,Knowledge of condom (married women)
FP_KMTU_W_MCN,Knowledge of condom (sexually active unmarried women)
FP_KMTU_M_MCN,Knowledge of condom (sexually active unmmarried men)
FP_KMTA_M_DIA,Knowledge of diaphragm (all men)
FP_KMTA_W_DIA,Knowledge of diaphragm (all women)
FP_KMTM_M_DIA,Knowledge of diaphragm (married men)
FP_KMTM_W_DIA,Knowledge of diaphragm (married women)
FP_KMTU_W_DIA,Knowledge of diaphragm (sexually active unmarried women)
FP_KMTU_M_DIA,Knowledge of diaphragm (sexually active unmmarried men)
FP_KMTA_M_DFJ,"Knowledge of diaphragm, foam or jelly (all men)"
FP_KMTM_M_DFJ,"Knowledge of diaphragm, foam or jelly (married men)"
FP_KMTU_M_DFJ,"Knowledge of diaphragm, foam or jelly (sexually active unmmarried men)"
FP_KMTA_M_EMC,Knowledge of emergency contraception (all men)
FP_KMTA_W_EMC,Knowledge of emergency contraception (all women)
FP_KMTM_M_EMC,Knowledge of emergency contraception (married men)
FP_KMTM_W_EMC,Knowledge of emergency contraception (married women)
FP_KMTU_W_EMC,Knowledge of emergency contraception (sexually active unmarried women)
FP_KMTU_M_EMC,Knowledge of emergency contraception (sexually active unmmarried men)
FP_KMTA_M_FCN,Knowledge of female condom (all men)
FP_KMTA_W_FCN,Knowledge of female condom (all women)
FP_KMTM_M_FCN,Knowledge of female condom (married men)
FP_KMTM_W_FCN,Knowledge of female condom (married women)
FP_KMTU_W_FCN,Knowledge of female condom (sexually active unmarried women)
FP_KMTU_M_FCN,Knowledge of female condom (sexually active unmmarried men)
FP_KMTA_M_FST,Knowledge of female sterilization (all men)
FP_KMTA_W_FST,Knowledge of female sterilization (all women)
FP_KMTM_M_FST,Knowledge of female sterilization (married men)
FP_KMTM_W_FST,Knowledge of female sterilization (married women)
FP_KMTU_W_FST,Knowledge of female sterilization (sexually active unmarried women)
FP_KMTU_M_FST,Knowledge of female sterilization (sexually active unmmarried men)
FP_KMTA_M_FOM,Knowledge of foam or jelly (all men)
FP_KMTA_W_FOM,Knowledge of foam or jelly (all women)
FP_KMTM_M_FOM,Knowledge of foam or jelly (married men)
FP_KMTM_W_FOM,Knowledge of foam or jelly (married women)
FP_KMTU_W_FOM,Knowledge of foam or jelly (sexually active unmarried women)
FP_KMTU_M_FOM,Knowledge of foam or jelly (sexually active unmmarried men)
FP_KMTA_M_IMP,Knowledge of implants (all men)
FP_KMTA_W_IMP,Knowledge of implants (all women)
FP_KMTM_M_IMP,Knowledge of implants (married men)
FP_KMTM_W_IMP,Knowledge of implants (married women)
FP_KMTU_W_IMP,Knowledge of implants (sexually active unmarried women)
FP_KMTU_M_IMP,Knowledge of implants (sexually active unmmarried men)
FP_KMTA_M_INJ,Knowledge of injections (all men)
FP_KMTA_W_INJ,Knowledge of injections (all women)
FP_KMTM_M_INJ,Knowledge of injections (married men)
FP_KMTM_W_INJ,Knowledge of injections (married women)
FP_KMTU_W_INJ,Knowledge of injections (sexually active unmarried women)
FP_KMTU_M_INJ,Knowledge of injections (sexually active unmmarried men)
FP_KMTA_M_LAM,Knowledge of lactational amenorrhea method (all men)
FP_KMTA_W_LAM,Knowledge of lactational amenorrhea method (all women)
FP_KMTM_M_LAM,Knowledge of lactational amenorrhea method (married men)
FP_KMTM_W_LAM,Knowledge of lactational amenorrhea method (married women)
FP_KMTU_W_LAM,Knowledge of lactational amenorrhea method (sexually active unmarried women)
FP_KMTU_M_LAM,Knowledge of lactational amenorrhea method (sexually active unmmarried men)
FP_KMTA_M_MST,Knowledge of male sterilization (all men)
